name;category;city;address;phone;email;instagram;facebook;website;postal_code;area
Absolute Spa at River Rock Casino Resort;Hydrotherapy, Eyebrow Services, Aestheticians, Massage, Day Spas, Skin Care, Beauty & Spas, Massage Therapy, Nail Salons, Waxing;Richmond;8811 River Road;(604) 684-2772;;'https://www.instagram.com/absolutespagroup/', 'https://www.instagram.com/absolute.spa/';'https://www.facebook.com/AbsoluteSpa';http://www.absolutespa.com/river-rock-casino-resort/?utm_source=YELP&utm_medium=CPC&utm_campaign=Yelp%202018;V6X 3P8;Richmond
Absolutely Fabulous Urban Spa;Medical Spas, Nail Salons, Waxing, Beauty & Spas, Day Spas, Laser Hair Removal;Vancouver;1054 Hornby Street;(604) 738-6245;;'https://www.instagram.com/abfabspa/';;http://www.myspa.ca;V6Z 1V6;Downtown
Accel Health and Athletics;Massage, Massage Therapy, Day Spas, Health & Medical;Vancouver;1090 Georgia Street W;(604) 428-4593;;'https://www.instagram.com/accelpro';'https://www.facebook.com/350247078866350';http://www.accelpro.ca;V6E 3V7;Downtown, West End
Accord Dental Clinic;Health & Medical;Vancouver;2385 W 4th Avenue;(604) 731-3800;;'https://www.instagram.com/accorddental/';'https://www.facebook.com/AccordDentalKitsilano';http://www.accorddental.ca;V6K 1P2;Kitsilano
Ace High Barber Shop;Beauty & Spas;Vancouver;823 Davie Street;(778) 379-3579;;'https://instagram.com/acehighbarbershop/';'https://www.facebook.com/pages/Ace-High-Barber-Shop/929477850407369?fref=ts';http://acehighbarbershop.com;V6Z 1B7;Downtown
Ace High Barber Shop;Beauty & Spas;Vancouver;2564 Arbutus Street;(604) 736-2570;;'https://instagram.com/acehighbarbershop/';'https://www.facebook.com/pages/Ace-High-Barber-Shop/929477850407369?fref=ts';http://acehighbarbershop.com/index.php;V6J 3Y2;Kitsilano
Ace Personnel Domestic Services;Health & Medical;Vancouver;521 W 57th Avenue;(604) 321-2778;'conact@acepersonnel.ca', 'contact@acepersonnel.ca', 'cherry@acepersonnel.ca', 'rebecca@acepersonnel.ca', 'janice@acepersonnel.ca';'https://www.instagram.com/ace_personnel/';'https://www.facebook.com/acepersonnel/jobs', 'https://www.facebook.com/acepersonnel';http://www.acepersonnel.ca;V6P 1R8;Oakridge
Ace Wellness Clinic;Day Spas, Massage Therapy;Langley;20349 88 Avenue;(604) 371-3600;'info@acewellnessclinic.com';'https://www.instagram.com/acewellnessclinic/';'https://www.facebook.com/acewellnessclinic';http://www.acewellnessclinic.com;V1M 2K5;Langley
Active Kinetix;Health & Medical;Burnaby;5605 Hastings Street;(604) 999-1853;'info@activekinetix.com';'https://www.instagram.com/reel/CkZQR0TOys8/', 'https://www.instagram.com/reel/Cis1qTatSlQ/', 'https://www.instagram.com/reel/Ch8YhQPJfYD/', 'https://www.instagram.com/reel/CiN-IAqP0Ya/', 'https://www.instagram.com/reel/CijAWn_Ji73/', 'https://www.instagram.com/reel/Ch_Fu7UOIqy/', 'https://www.instagram.com/reel/ChZ6SANrkae/', 'https://www.instagram.com/reel/ChTUYg5JXKS/', 'https://www.instagram.com/vancouverstretchtherapy/?hl=en', 'https://www.instagram.com/reel/Ci9H6itM1u5/';;http://www.activekinetix.com;V5B 1R4;Burnaby
Active Life Health Clinic;Massage Therapy, Health & Medical;Vancouver;943 West Broadway;(604) 783-2846;'drcarrtcm@gmail.com';'https://instagram.com/acumelissa', 'https://www.instagram.com/', 'https://instagram.com/acumelissa/';'https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Factivetcm.com', 'https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Factivetcm.com%2Fcontact%2F', 'https://www.facebook.com/Dr.MelissaCarr';http://www.activetcm.com;V5Z 4E1;Fairview Slopes
Active Therapy Clinic;Massage, Massage Therapy, Day Spas, Health & Medical;North Vancouver;300 - 1221 Lonsdale Ave;(604) 973-1700;'info@active-therapy.ca';'https://www.instagram.com/activetherapynorthvan/';'https://www.facebook.com/ActiveTherapyNorthVan';https://www.active-therapy.ca;V7M 2H5;Central Lonsdale
Acubalance Wellness Centre;Health & Medical;Vancouver;888 W 8th Avenue;(604) 678-8600;;'https://www.instagram.com/acubalancewellnesscentre/?hl=en';'http://www.facebook.com/acubalance';http://www.acubalance.ca;V5Z 3Y1;Fairview Slopes
Acucare Acupuncture and Facial Renewal;Skin Care, Massage Therapy, Beauty & Spas, Health & Medical;Vancouver;569 Howe Street;(604) 836-4355;;'https://www.instagram.com/acufacialgal/';'https://www.facebook.com/acucarevancouver';https://acucarevancouver.ca;V6C 2C2;Downtown
Acucure Clinic;Massage Therapy, Health & Medical;North Vancouver;738 Marine Drive;(778) 200-7543;'info@acucure.ca';'https://www.instagram.com/acucureclinic/';'https://www.facebook.com/acucureclinic';https://www.acucure.ca;V7M 1H3;North Vancouver
Acupoint Wellness  Centre;Massage, Massage Therapy, Day Spas, Health & Medical;Vancouver;808 Nelson Street;(604) 688-7710;'info@acupoint.ca';'https://www.instagram.com/acupointwellness/';'https://www.facebook.com/AcupointWellnessCentre/';http://www.acupoint.ca;V6Z 2H1;Downtown
Acupuncture Therapy;Medical Spas;Victoria;843 Fisgard Street;(604) 317-7606;'gen@acupuncturetherapy.ca';'https://www.instagram.com/p/CkKMGNoN8kJ/', 'https://www.instagram.com/p/CcD5rF-vlog/', 'https://www.instagram.com/p/ClhhRyGNlP9/', 'https://www.instagram.com/p/CcGhJzQvB75/', 'https://www.instagram.com/p/CkHAlbNStIs/', 'https://www.instagram.com/reel/CsPz1vGOwnB/', 'https://www.instagram.com/acupuncturetherapy.vic/', 'https://www.instagram.com/reel/Cqq2eFrNVT2/', 'https://www.instagram.com/p/CkGv5chvHy1/';'http://facebook.com/acupuncturetherapy.vic', 'https://www.facebook.com/acupuncturetherapy.vic';https://acupuncturetherapy.ca;V8W 1R9;Victoria
Adapt Spine Centre;Health & Medical;Burnaby;3691 Hastings Street;(604) 398-5557;'info@adaptspine.com';'https://www.instagram.com/p/CloxpzaL5C0/', 'https://www.instagram.com/p/CpvX1bhrcLF/', 'https://www.instagram.com/p/Cme9v7prRMJ/', 'https://www.instagram.com/adaptspine/', 'https://www.instagram.com/p/Cswndm7SLQP/';'https://www.facebook.com/adaptspine';http://www.adaptspine.com;V5C 2H6;Burnaby Heights
Adora Salon & Spa;Eyelash Service, Nail Salons, Hair Removal, Skin Care, Waxing, Beauty & Spas;Vancouver;3316 Cambie Street;(778) 379-3093;'info@adorasalonspa.com';'https://www.instagram.com/adorasalonspa/';'https://www.facebook.com/adorasalonspa/';http://adorasalonspa.com;V5Z 2W5;South Cambie, Riley Park
Adrenaline Professional Body Piercing & Tattoos;Beauty & Spas;Vancouver;1014 Granville Street;(604) 669-6800;'adrenaline_mtl@yahoo.com', 'info@adrenalinevancity.com', 'info@adrenalinetoronto.com', 'kits@adrenalinevancity.com', 'hello@sohtattoo.com';'https://www.instagram.com/adrenalinevancity/', 'https://www.instagram.com/adrenaline_kits/', 'https://www.instagram.com/adrenalinetoronto/';'https://www.facebook.com/Adrenaline-Toronto-Tattoos-and-Body-Piercings-125069007518200', 'https://www.facebook.com/AdrenalineVancity/';http://www.adrenalinevancity.com;V6Z 1L5;Granville Entertainment District, Downtown
Adrenaline Professional Body Piercing & Tattoos;Beauty & Spas, Health & Medical;Vancouver;1926 West 4th Avenue;(604) 734-8282;'adrenaline_mtl@yahoo.com', 'kits@adrenalinevancity.com', 'hello@sohtattoo.com', 'info@adrenalinetoronto.com', 'info@adrenalinevancity.com';'https://www.instagram.com/adrenaline_kits/', 'https://www.instagram.com/adrenalinetoronto/', 'https://www.instagram.com/adrenalinevancity/';'https://www.facebook.com/Adrenaline-Toronto-Tattoos-and-Body-Piercings-125069007518200', 'https://www.facebook.com/AdrenalineVancity/';http://www.adrenalinevancity.com;V6J 1M5;Kitsilano
Adrienne Chan;Health & Medical;Vancouver;410-1008 Homer Street;(778) 786-2517;;'https://www.instagram.com/dr.adrienneacupuncture/';'https://www.facebook.com/igettothepoint/';http://dradriennechan.com;V6B;Downtown
Adrienne Chan ,TCM;Health & Medical;Vancouver;1008 Homer Street;(778) 786-2517;;'https://www.instagram.com/dr.adrienneacupuncture/';'https://www.facebook.com/igettothepoint/';http://dradriennechan.com;V6B 2X1;Yaletown, Downtown
Adrienne Ngai;Health & Medical;Vancouver;1892 W Broadway;(604) 396-2703;;'https://www.instagram.com/adrienne.rd';'https://www.facebook.com/adriennetherd';http://www.adriennerd.com;V6J 1Y9;Kitsilano
Advance Beauty Studio;Eyelash Service, Waxing, Hair Removal, Skin Care, Beauty & Spas, Eyebrow Services;North Vancouver;166 E 15th Street;(604) 988-0789;;'http://instagram.com/advance_beauty_studio';'https://www.facebook.com/AdvanceBeautyStudio';http://www.advancebeauty.ca;V7L 2R1;Central Lonsdale
Advance Concussion Clinic;Health & Medical;Vancouver;1367 W Broadway;(604) 428-8778;'admin@advanceconcussion.com';'https://www.instagram.com/advanceconcussionclinic/';'https://www.facebook.com/advanceconcussionclinicvancouver/';https://www.advanceconcussion.com;V6H 4A7;Fairview Slopes
Advance Health and Wellness Centre;Massage Therapy;Port Coquitlam;103-1250 Dominion Avenue;(604) 474-2492;'info@advancehealthandwellness.com';'https://www.instagram.com/p/Cig1Cj7r48E/', 'https://www.instagram.com/p/CjdO-1pLLBf/', 'https://www.instagram.com/p/CbLpiX8vvx0/', 'https://www.instagram.com/p/CeUZUEsv8bS/', 'https://www.instagram.com/p/Cn-yilUJC4z/', 'https://www.instagram.com/p/Cc_L4MQPaGL/', 'https://www.instagram.com/p/Ch0nfv3vLNP/', 'https://www.instagram.com/p/CnygUczuIiw/', 'https://www.instagram.com/ahawcentre/';'https://www.facebook.com/advancehealthandwellness/';http://advancehealthandwellness.com;V3B 8G7;Port Coquitlam
Adventure Into Time and Beyond Hypnotherapy;Health & Medical;West Vancouver;1718 Marine Drive;(604) 741-7944;'rifa@lifebetweenlives.ca';'https://www.instagram.com/rifa.hodgson/';'http://www.facebook.com/sharer.php?u=https://www.lifebetweenlives.ca/';http://www.lifebetweenlives.ca;V7V 1J3;Ambleside
Aesop;Cosmetics & Beauty Supply, Beauty & Spas;Vancouver;2072 West 4th Avenue;(604) 736-0767;'aesop.kitsilano@aesop.com', 'aesop@aesop.com';'http://instagram.com/aesopskincare/', 'https://www.instagram.com/aesopskincare/';;https://www.aesop.com/ca/en/r/aesop-kitsilano;V6J 1M9;Kitsilano
Aesop;Cosmetics & Beauty Supply, Beauty & Spas;Vancouver;19 Water Street;(604) 915-6995;'aesop.gastown@aesop.com', 'aesop@aesop.com';'http://instagram.com/aesopskincare/', 'https://www.instagram.com/aesopskincare/';;https://www.aesop.com/ca/en/r/aesop-gastown;V6B 1A1;Gastown, Downtown
Aesop;Cosmetics & Beauty Supply, Beauty & Spas;Vancouver;3583 Main Street;(604) 871-1160;'aesop@aesop.com';'http://instagram.com/aesopskincare/', 'https://www.instagram.com/aesopskincare/';;https://www.aesop.com/ca/en/r/aesop-main-street;V5V 3N4;Riley Park
Aesop;Cosmetics & Beauty Supply, Beauty & Spas;West Vancouver;925 Main Street;(778) 279-7177;'aesop@aesop.com';'http://instagram.com/aesopskincare/', 'https://www.instagram.com/aesopskincare/';;https://www.aesop.com/au/r/aesop-park-royal/;V7T 2Z3;West Vancouver
Afrina Beauty Club, Spa & Health;Hair Salons, Hair Stylists, Hair Extensions, Blow Dry%2FOut Services%27, Skin Care, Nail Salons, Day Spas, Massage, Eyebrow Services, Beauty & Spas, Health & Medical;North Vancouver;700 Marine Drive;(236) 900-1011;;'https://www.instagram.com/afrina.ca';'https://www.facebook.com/Afrina.ca';https://afrina.ca;V7M 1H3;North Vancouver
Afro Hair Studio;Wigs, Day Spas, Beauty & Spas;Vancouver;1969 Commercial Drive;(604) 251-2512;'afrohairstudio1@gmail.com';'https://www.instagram.com/afrohairstudio/';'https://www.facebook.com/afrohairstudio/';http://www.afrohairstudio.com;V5N 4A8;The Drive, Grandview-Woodlands
Afterglow Physician Directed Medical Aesthetics;Cosmetic Surgeons, Hair Removal, Laser Hair Removal, Medical Spas, Skin Care, Dermatologists, Eyebrow Services, Beauty & Spas, Health & Medical;North Vancouver;104-2609 Westview Drive;(604) 980-3993;'%20infowestview@dermapure.ca';'https://www.instagram.com/dermapureclinics/';'https://www.facebook.com/CliniqueDermapure/';https://www.afterglowskincare.ca;V7N 4M2;North Vancouver
Against the Grain Registered Massage Therapy;Massage;Surrey;15331 16 Ave;(778) 222-1051;'info@againstthegrainrmt.ca';'https://www.instagram.com/shaelynnwheeler_jeffstamand/';'https://www.facebook.com/WeekendMassageClinic/';http://againstthegrainrmt.ca;V4A 1R6;Surrey
Age Less Laser Centres;Laser Hair Removal, Skin Care;Victoria;4500 W Saanich Road;(778) 433-8300;;'https://www.instagram.com/agelessvicbc/';'https://www.facebook.com/agelessvictoriabc';http://www.agelesslasercentres.com;V8Z 3G2;Victoria
Ageless Beauty Laser and Spa;Medical Spas, Day Spas, Dermatologists;Surrey;8645 160th Street;(778) 565-9055;'agelessbeautylaser@gmail.com';'https://www.instagram.com/agelessbeautylaser/';'https://www.facebook.com/AgelessBeautyLaserSpa';http://agelessbeautylaser.com;V4N 1G4;Surrey
A-glow Beauty Salon;Makeup Artists;Surrey;14693 80A Avenue;(778) 883-6147;'a-glow@hotmail.com';'https://www.instagram.com/';'https://www.facebook.com/', 'https://www.facebook.com/people/A-Glow-Beauty-Salon-Inc/100066493480449/';http://www.a-glow.ca;V3S 9Y6;Surrey
Agnieszka Matusik, ND;Health & Medical;Burnaby;4353 Hastings Street;(604) 293-2941;;'http://www.instagram.com/dr.aggie.matusik.nd';'http://www.facebook.com/drmatusik';http://www.drmatusik.com;V5C 2J7;Burnaby Heights
Aim Dental Centre;Teeth Whitening;North Surrey;10833 160 Street;(604) 581-2461;'info@aimdentalcentre.com';'https://www.instagram.com/aimdentalcentre_/';'https://www.facebook.com/Aim-Dental-Centre-389161804560005/';http://www.aimdentalcentre.com;V4N 1J6;North Surrey
Airmid Reiki;Health & Medical;Delta;;(604) 833-3247;'airmidreiki@outlook.com';'https://instagram.com/airmidreiki?igshid=ZDdkNTZiNTM=';;http://www.airmidhealing.ca;V4K 2C9;Delta
AJR Tattoo;Beauty & Spas;Pitt Meadows;6-12350 Harris Road;(604) 457-0088;;'https://www.instagram.com/ajrtattoos ';;http://Alexrousey.com;V3Y 1A2;Pitt Meadows
Akitu Hair Studio;Hair Salons, Hair Stylists;Surrey;10223 King George Blvd;(604) 957-3889;;'https://www.instagram.com/akitu_hair_studio/';'https://www.facebook.com/search/top?q=akitu%20hair%20studio';https://www.akituhairstudio.com;V3T 2W6;Surrey
Akoya Nails Spa;Hair Removal;White Rock;1475 Johnston Road;(604) 531-5554;;'https://www.instagram.com/akoyanailspa/';'https://www.facebook.com/akoyanailspa';https://www.akoyanailspa.com;V4B 3Z4;White Rock
Akzentz Professional;Cosmetics & Beauty Supply, Nail Salons, Beauty & Spas;Burnaby;8118 N Fraser Way;(604) 278-5851;'contact.info@akzentz.com';'http://www.instagram.com/akzentz';'http://www.facebook.com/akzentznails';http://www.akzentz.com;V5J 0E5;Burnaby
Alaia Physiotherapy Sports & Wellness;Massage Therapy, Health & Medical;Vancouver;310 - 997 Seymour Street;(604) 812-4286;'info@alaia.ca';'https://www.instagram.com/alaiaphysio/', 'http://instagram.com/alaiaphysio';'https://www.facebook.com/alaiaphysio/?fref=ts';http://www.alaia.ca;V6B 3M1;Downtown
Alberni Family Dental;Health & Medical;Vancouver;1308 Alberni Street;(604) 689-8900;'alberni@familydentalcentres.com', 'careers@familydentalcentres.com', 'info@familydentalcentres.com';'http://www.instagram.com/familydentalcentres/';'https://www.facebook.com/familydentalcentres', 'https://www.facebook.com/albernifamilydental/';https://www.familydentalcentres.com/alberni-family-dental;V6E 4N9;West End
Alex Dragan, ND - Healing Cedar Wellness;Health & Medical;Port Moody;8-3130 St Johns Street;(604) 469-1616;;'http://instagram.com/squarespace';'http://facebook.com';http://www.dralexdragan.com;V3H 5E3;Port Moody
Alexandra Inman, RD;Health & Medical;Vancouver;201-3077 Granville Street;(778) 232-4458;'vancouverdietitians@gmail.com';'http://www.instagram.com/VancouverDietitians', 'http://instagram.com/VancouverDietitians';'http://www.facebook.com/VancouverDietitians';https://www.vancouverdietitians.ca;V6H 3J9;South Granville, Fairview Slopes
Alexandra Power, ND;Health & Medical;North Vancouver;1277 Lynn Valley Road;(604) 990-6963;'drallypower@gmail.com', 'hello@virtualhealthcollective.ca';'https://www.instagram.com/drallypower/', 'http://instagram.com/drallypower';;http://www.dralexandrapower.com;V7J 0A2;Lynn Valley
Ali Ghahary, MD - Brentwood Medical Clinic;Health & Medical;Burnaby;4567 Lougheed Highway;(604) 294-8540;;'http://instagram.com/alighahary';'http://facebook.com/dralighahary';http://www.alighahary.ca;V5C 3Z6;Burnaby
Ali Mehio - Aria Dental Studio;Health & Medical;Vancouver;1030 W Georgia Street;(604) 568-8686;'info@aria.com';'https://www.instagram.com/ariadentalstudio/?hl=en';'https://www.facebook.com/ariadental/?ref=page_internal';http://www.ariadental.com;V6E 2Y3;Downtown, West End
Alia Wellness Centre;Day Spas, Massage Therapy;Burnaby;6588 Royal Oak Avenue;(778) 786-2535;'info@aliawellnesscentre.com';'https://www.instagram.com/alia_wellness/?hl=en';'https://www.facebook.com/Aliawellnesscentre/';https://aliawellnesscentre.com;V5H 3P4;Metrotown
Align Dental Care;Health & Medical;Vancouver;3401 Fraser Street;(604) 566-6288;'info@aligndentalcare.ca';'https://www.instagram.com/aligndentalcare.ca/';'https://www.facebook.com/drnasimmousavi/';https://aligndentalcare.ca;V5V 4C4;Riley Park
Aligned Hypnotherapy;Health & Medical;Vancouver;999 West Broadway;(604) 781-2035;;'https://www.instagram.com/alignedhypnotherapy/';'https://www.facebook.com/AlignedHypnotherapy';http://www.alignedhypnotherapy.com;V5Z 1K5;Fairview Slopes
Alive and Pure Healing;Health & Medical;Vancouver;;(778) 997-2234;;'https://www.instagram.com/AliveandPure/';'https://www.facebook.com/aliveandpure/';http://aliveandpure.com;V5H;Vancouver
Alive Health Centre;Health & Medical;Burnaby;4700 Kingsway;(604) 430-9622;;'https://www.instagram.com/alivehealthctr';'https://www.facebook.com/supplementsplusca';http://www.supplementsplus.ca;V5H;Metrotown
All About Nails By Edita;Nail Salons, Beauty & Spas;Kerrisdale;2033 West 42nd Avenue;(778) 839-3950;;'https://www.instagram.com/nailsbyeditavancouver';'https://www.facebook.com/Nails-By-Edita-123015931513818';http://www.nailsbyedita.com;V6M 2B4;Kerrisdale
All About You Spa;Day Spas, Beauty & Spas;Lions Bay;15 Oceanview Rd;(604) 682-7716;;'https://www.instagram.com/allaboutyou_spatique/', 'https://www.instagram.com/allaboutyou_spatique/?hl=en';'https://www.facebook.com/allaboutyou.spatique';http://www.allaboutyouspagroup.com;V0N 2E0;Lions Bay
All Beauty Laser;Hair Removal, Aestheticians, Laser Hair Removal, Medical Spas, Skin Care;Surrey;111-7322 King George Boulevard;(604) 590-8879;'Info@allbeautylaser.ca', 'info@allbeautylaser.ca', 'allbeautylaser@gmail.com';'https://www.instagram.com/allbeautylaser/';'https://facebook.com/allbeautylaser';http://allbeautylaser.ca;V3W 5A5;Surrey
All Beauty Laser;Hair Removal, Laser Hair Removal, Medical Spas, Skin Care, Beauty & Spas, Day Spas, Health & Medical;West Vancouver;636 Clyde Ave;(604) 281-2030;'allbeautylaser@gmail.com', 'info@allbeautylaser.ca', 'Info@allbeautylaser.ca';'https://www.instagram.com/allbeautylaser/';'https://facebook.com/allbeautylaser';http://allbeautylaser.ca;V7T 1E1;West Vancouver
All Body Laser;Beauty & Spas;Port Coquitlam;140- 2627 Shaughnessy Street;(604) 773-7515;;'https://www.instagram.com/allbodylaser/';'https://www.facebook.com/allbodylaser/';https://allbodylaser.com;V3C 0E1;Port Coquitlam
All Body Laser & Treatment Center;Cosmetology Schools;Port Coquitlam;140-2627 Shaughnessy Street;(604) 773-7515;;'https://www.instagram.com/allbodylaser/';'https://www.facebook.com/allbodylaser/';http://allbodylaser.com;V3C 3G5;Port Coquitlam
All Brains Clinic;Health & Medical;Vancouver;5933 Birney Ave;(604) 998-2244;;'https://www.instagram.com/allbrainsclinic/';'https://www.facebook.com/profile.php?id=100086485934368/';http://www.allbrainsclinic.com;V6S 0G7;UBC
All Stages Nutrition;Health & Medical;Burnaby;;;;'https://www.instagram.com/allstagesnutrition/';;http://www.allstagesnutrition.ca;V3J 0A9;Burnaby
Alla Ozerova Health Centre;Health & Medical;Vancouver;1018 Seymour Street;(778) 788-2552;'alla@acu.clinic';'https://instagram.com/sujokcanada?igshid=xn8iux8t6ksd';;http://acu.clinic;V6B 3M6;Granville Entertainment District, Downtown
Allan McGavin Sports Medicine Centre Physiotherapy;Massage Therapy, Day Spas, Health & Medical;Vancouver;6081 University Boulevard;(604) 822-0150;'sheldon@allanmcgavinphysio.com', 'plaza@allanmcgavinphysio.com', 'thomas@allanmcgavinphysio.com', 'laszlo@allanmcgavinphysio.com', 'dan@allanmcgavinphysio.com', 'nswc@allanmcgavinphysio.com', 'andrea@allanmcgavinphysio.com', 'cathy@allanmcgavinphysio.com', 'alex@allanmcgavinphysio.com', 'luisa@allanmcgavinphysio.com', 'ron@allanmcgavinphysio.com', 'lauren@allanmcgavinphysio.com', 'dallas@allanmcgavinphysio.com', 'heather@allanmcgavinphysio.com', 'zenya@allanmcgavinphysio.com', 'julian@allanmcgavinphysio.com', 'henry@allanmcgavinphysio.com', 'ryan@allanmcgavinphysio.com', 'usb@allanmcgavinphysio.com', 'midori@allanmcgavinphysio.com', 'tabitha@allanmcgavinphysio.com', 'trish@allanmcgavinphysio.com', 'greg@allanmcgavinphysio.com', 'jay@allanmcgavinphysio.com', 'info@allanmcgavinphysio.com', 'dylan@allanmcgavinphysio.com', 'scott@allanmcgavinphysio.com', 'Teri-Lynn@allanmcgavinphysio.com', 'jared@allanmcgavinphysio.com', 'alinah@allanmcgavinphysio.com';'https://www.instagram.com/allanmcgavinclinic/';'https://www.facebook.com/pages/Allan-McGavin-Sports-Medicine-Centre-Physiotherapy/233257313492136';http://www.allanmcgavinphysio.com;V6T 1Z1;UBC
Allan McGavin Sports Medicine Clinic Physiotherapy;Day Spas, Massage Therapy, Health & Medical;North Vancouver;12-1225 E Keith Road;(604) 904-6556;'thomas@allanmcgavinphysio.com', 'greg@allanmcgavinphysio.com', 'nswc@allanmcgavinphysio.com', 'ron@allanmcgavinphysio.com', 'midori@allanmcgavinphysio.com', 'zenya@allanmcgavinphysio.com', 'alex@allanmcgavinphysio.com', 'sheldon@allanmcgavinphysio.com', 'julian@allanmcgavinphysio.com', 'cathy@allanmcgavinphysio.com', 'jared@allanmcgavinphysio.com', 'laszlo@allanmcgavinphysio.com', 'dan@allanmcgavinphysio.com', 'trish@allanmcgavinphysio.com', 'heather@allanmcgavinphysio.com', 'tabitha@allanmcgavinphysio.com', 'luisa@allanmcgavinphysio.com', 'jay@allanmcgavinphysio.com', 'ryan@allanmcgavinphysio.com', 'usb@allanmcgavinphysio.com', 'alinah@allanmcgavinphysio.com', 'dylan@allanmcgavinphysio.com', 'scott@allanmcgavinphysio.com', 'plaza@allanmcgavinphysio.com', 'andrea@allanmcgavinphysio.com', 'info@allanmcgavinphysio.com', 'Teri-Lynn@allanmcgavinphysio.com', 'henry@allanmcgavinphysio.com', 'dallas@allanmcgavinphysio.com', 'lauren@allanmcgavinphysio.com';'https://www.instagram.com/allanmcgavinclinic/';'https://www.facebook.com/pages/Allan-McGavin-Sports-Medicine-Centre-Physiotherapy/233257313492136';http://www.allanmcgavinphysio.com;V7J 1J3;North Vancouver
